id,product_name,barcode,unit,category,brand,inventory,stock,expiry,purchase_price,sale_price,price_per_unit,tax,unit_name,unit_conversion
,ZINIUS 30MG TAB 60S,,NOS,,,0,10,180,0,0,0,0,,
,ZINERYT LOTION 30ML,,NOS,,,0,10,180,0,0,0,0,,
,ZINCOVIT SYRUP 200 ML,,NOS,,,0,10,180,0,0,0,0,,
,ZINC OXIDE PLASTER MED 1.25CM,,NOS,SURGICALS,,9,0,0,0,0,0,0,,
,ZINC OXIDE PLASTER 1.25CM,,,,,0,0,0,0,0,0,0,,
,ZINC OLIVE CREAM 75GM,,NOS,,,0,10,180,0,0,0,0,,
,ZINC IMMUNE HEALTH SUPPORT CAPS XEMENRY 60S,,NOS,,,0,10,180,0,0,0,0,,
,ZINC 50 MG 60S,,NOS,,,0,10,180,0,0,0,0,,
,ZIMAX 300MG/7.5ML ORAL SUSP 22.5ML,,NOS,,,0,10,180,0,0,0,0,,
,ZIMAX 250MG CAPS 6S,,NOS,,,0,10,180,0,0,0,0,,
,ZIMAX 200MG/5ML ORAL SUSP 15ML,,NOS,,,0,10,180,0,0,0,0,,
,ZETRON 250MG CAPS 6S,,PACK,,,0,10,180,0,0,0,0,,
,ZETA OINTMENT 15GM,,NOS,MEDICAL OINTMENTS & CREAM,,2,10,180,0,0,0,0,,
,ZETA CREAM 15GM,,NOS,,,0,10,180,0,0,0,0,,
,ZESTRIL 5MG TAB 28S,,PACK,,,0,10,180,0,0,0,0,STRIPS,2
,ZESTRIL 10MG TAB 28S,,PACK,TABLETS,,5,10,180,0,0,0,0,STRIPS,2
,ZERTAZINE SYRUP 100ML,,NOS,,,0,10,180,0,0,0,0,,
,ZERTAZINE 10MG TAB 20S,,PACK,TABLETS,,3,10,180,0,0,0,0,STRIPS,2
,ZENTEL SUSP 20ML,,,,,0,10,180,0.787,0.96,0,0,,
,ZENTEL 400MG TAB 1S,,NOS,TABLETS,,32,10,180,0,0,0,0,,
,ZENTEL 400MG ORAL SUSP 10ML,,NOS,SYRUP,,85,10,180,0,0,0,0,,
,ZENTEL 100MG/5ML SUSP 20ML,,NOS,,,0,10,180,0,0,0,0,,
,ZENON 250 SUSP 50ML,,NOS,,,0,10,180,0,0,0,0,,
,ZENON 125 SUSP 100ML,,NOS,,,0,10,180,0,0,0,0,,
,ZEMITRON 4MG TAB 10S,,NOS,,,0,10,180,0,0,0,0,,
,ZEDCAL-OP TAB 30S,,PACK,,,0,10,180,0,0,0,0,STRIPS,5
,ZED 50MG TAB 4S,,NOS,,,0,10,180,0,0,0,0,,
,ZED 100MG TAB 4S,,NOS,TABLETS,,41,10,180,0,0,0,0,,
,ZECUF SUGARFREE LOZENGES HERBAL 24S,,PACK,,,26,10,180,0,0,0,0,STRIPS,2
,ZECUF SUGAR FREE HERBAL COUGH SYRUP 100ML,,NOS,,,0,10,180,0,0,0,0,,
,ZECUF LOZENGES STRAWBERRY 24S,,PACK,,,0,10,180,0,0,0,0,STRIPS,2
,ZECUF LOZENGES PINEAPPLE 24S,,PACK,,,0,10,180,0,0,0,0,STRIPS,2
,ZECUF LOZENGES ORANGE 24S,,PACK,,,0,10,180,0,0,0,0,STRIPS,2
,ZECUF LOZENGES LEMON 24S,,PACK,,,13,10,180,0,0,0,0,STRIPS,2
,ZECUF LOZENGES HONEY LEMON 24S,,PACK,,,0,10,180,0,0,0,0,STRIPS,2
,ZECUF LOZENGES HERBAL 24S,,PACK,,,0,10,180,0,0,0,0,STRIPS,2
,ZECUF HERBAL COUGH SYRUP 100ML,,NOS,SYRUP,,55,10,180,0,0,0,0,,
,ZANDU BALM 25ML,,NOS,,,0,10,180,0,0,0,0,,
,ZAMUR 500MG TAB 10S,,PACK,,,0,10,180,0,0,0,0,STRIPS,2
,ZAJEL BABY NAIL CUTTER,,,,,0,10,180,0.175,0.5,0,5,,
,ZAIN 10 MG TAB 10S,,PACK,,,0,10,180,0,0,0,0,,
,ZAHRA TAB 21S,,PACK,,,0,10,180,0,0,0,0,,
,ZADITEN 1MG TAB 30S,,PACK,,,0,10,180,0,0,0,0,STRIPS,3
,Z-TAMIN 25MG TAB 100S,,NOS,,,0,10,180,0,0,0,0,,
,YOUTU BATTERY TOOTHBRUSH,,NOS,,,0,10,180,0,0,0,0,,
,YOUNIFLOSS DENTAL FLOSS 50S,,NOS,,,0,10,180,0,0,0,0,,
,YC WHITENING PEARL SOAP 130GM,,NOS,,,0,10,180,0,0,0,0,,
,YC WHITENING PEARL CREAM 60GM,,NOS,,,0,10,180,0,0,0,0,,
,YC WHITENING GOLD CAVIAR GEL 210ML,,NOS,,,0,10,180,0,0,0,0,,
,YC WHITENING FACE WASH 100ML,,NOS,,,0,10,180,0,0,0,0,,
,YC SO WHITE TOTAL SOLUTIONS 100ML,,NOS,,,0,10,180,0,0,0,0,,
,YC SO WHITE HAND AND NAIL MOISTURIZING CREAM 50ML,,NOS,,,0,10,180,0,0,0,0,,
,YC SO WHITE FACE WASH 100ML,,NOS,,,0,10,180,0,0,0,0,,
,YC HERBAL EXTRACTS WHITENING SOAP 100GM,,NOS,,,0,10,180,0,0,0,0,,
,YC GOLD CAVIAR COLLAGEN SOAP 100GM,,NOS,,,0,10,180,0,0,0,0,,
,YC FADE WHITENING CREAM 50GM,,NOS,,,0,10,180,0,0,0,0,,
,YC DIAMOND WHITENING FACE WASH 150ML,,NOS,,,0,10,180,0,0,0,0,,
,YC DARK SPOT FADE OUT CREAM 50GM,,NOS,,,0,10,180,0,0,0,0,,
,YC DARK SPOT CREAM 50GM,,NOS,,,0,10,180,0,0,0,0,,
,YC CUCUMBER SCRUB SOAP 100GM,,NOS,,,0,10,180,0,0,0,0,,
,YC BLACK MASK 100ML,,NOS,,,0,10,180,0,0,0,0,,
,YC ACNE FACIAL GEL 250ML,,NOS,,,0,10,180,0,0,0,0,,
,YAZ TAB 28S,,NOS,,,0,10,180,0,0,0,0,,
,YASMIN TAB 21S,,NOS,TABLETS,,11,10,180,0,0,0,0,,
,YAMICED LOLLIPOP STRAWBERRY 1S,,NOS,,,0,10,180,0,0,0,0,,
,YAKI CAPSICUM PLASTER ALBAN 1S,,NOS,,,0,10,180,0,0,0,0,,
,XYZAL 5MG TAB 30S,,PACK,,,4,10,180,0,0,0,0,STRIPS,3
,XYRIO 20MG TAB 4S,,NOS,,,0,10,180,0,0,0,0,,
,XYLOPHIL 2% GEL 30GM,,NOS,,,0,10,180,0,0,0,0,,
,XYLOMET 0.1% NASAL DROPS 15ML,,NOS,,,0,10,180,0,0,0,0,,
,XYLOLIN CHILD NASAL SPRAY 10ML,,NOS,,,0,10,180,0,0,0,0,,
,XYLOLIN ADULT NASAL SPRAY 10ML,,NOS,,,0,10,180,0,0,0,0,,
,XYLOCAINE PUMP SPRAY 10% 50ML,,NOS,,,0,10,180,0,0,0,0,,
,XYLOCAINE 2% JELLY 30GM,,NOS,,,0,10,180,0,0,0,0,,
,XYLO-COMOD NASAL SPRAY 15ML,,NOS,SPRAY,,15,10,180,0,0,0,0,,
,XYLO-ACINO NASAL SPRAY 0.1% 10ML,,NOS,,,0,10,180,0,0,0,0,,
,XYLO ACINO 0.05% NASAL SPRAY 10ML,,NOS,,,0,10,180,0,0,0,0,,
,XOLAMOL OPHTHALMIC SOLUTION 5ML,,NOS,DROPS,,8,10,180,0,0,0,0,,
,XOLA OPTHALMIC SOLUTION 5ML,,NOS,DROPS,,7,10,180,0,0,0,0,,
,XIGDUO XR 5MG/1000MG TAB 60S,,PACK,,,0,10,180,0,0,0,0,STRIPS,10
,XIGDUO XR 10MG/1000MG TAB 30S,,PACK,TABLETS,,1,10,180,0,0,0,0,STRIPS,5
,XIBEI WATER FILLED TEETHER,,NOS,,,0,10,180,0,0,0,0,,
,XIBEI BOTTLE CLEANING BRUSH,,NOS,,,0,10,180,0,0,0,0,,
,XIBEI BABY NAIL CLIPPER,,NOS,,,0,10,180,0,0,0,0,,
,XERACTAN 20MG CAPS 30S,,PACK,,,0,10,180,0,0,0,0,STRIPS,3
,XERACTAN 10MG CAPS 30S,,PACK,,,0,10,180,0,0,0,0,STRIPS,3
,XENICAL 120MG CAPS 84S,,PACK,CAPSULES,,1,10,180,0,0,0,0,STRIPS,4
,XAVAX BATHROOM SCALES,,NOS,,,0,10,180,0,0,0,0,,
,XALATAN 0.005% EYE DROPS 2.5ML,,NOS,,,0,10,180,0,0,0,0,,
,WOW VIT C SKIN MIST TONER 200ML,,NOS,,,0,10,180,0,0,0,0,,
,WOW VIT C FOAM FACE WASH 150ML,,NOS,,,0,10,180,0,0,0,0,,
,WOW VIT C FACE WASH 100ML,,NOS,,,0,10,180,0,0,0,0,,
,WOW VIT C FACE SERUM 30ML,,NOS,,,0,10,180,0,0,0,0,,
,WOW VIT C FACE CREAM 50ML,,NOS,,,0,10,180,0,0,0,0,,
,WOW VIT C CLAY FACE MASK 200ML,,NOS,,,0,10,180,0,0,0,0,,
,WOW VIT C ALOEVERA NIGHT GEL 150ML,,NOS,,,0,10,180,0,0,0,0,,
,WOW UBTAN FACE WASH 100ML,,NOS,,,0,10,180,0,0,0,0,,
,WOW UBTAN FACE & BODY SCRUB 200ML,,NOS,,,0,10,180,0,0,0,0,,
,WOW TURMERIC CLAY FACE MASK 200ML,,NOS,,,0,10,180,0,0,0,0,,
,WOW RED ONION SHAMPOO 300ML,,NOS,,,0,10,180,0,0,0,0,,
,WOW RED ONION BLACK SEED OIL HAIR MASK 200ML,,NOS,,,0,10,180,0,0,0,0,,
,WOW ONION BLACKSEED HAIR OIL 200ML,,NOS,,,0,10,180,0,0,0,0,,
,WOW MOROCCAN ARGAN OIL CONDITIONER 300ML,,NOS,,,0,10,180,0,0,0,0,,
,WOW MOROCCAN ARGAN HAIR OIL 200ML,,NOS,,,0,10,180,0,0,0,0,,
,WOW HAIR MASK FOR NORMAL HAIR 200ML,,NOS,,,0,10,180,0,0,0,0,,
,WOW ARGAN OIL SHAMPOO 300ML,,NOS,,,0,10,180,0,0,0,0,,
,WOW APPLE CIDER VINEGAR HAIR MASK 200ML,,NOS,,,0,10,180,0,0,0,0,,
,WOW APPLE CIDER TONIC 200ML,,NOS,,,0,10,180,0,0,0,0,,
,WOW ACTIVATED CHARCOAL & KERATIN SHAMPOO 300ML,,NOS,,,0,10,180,0,0,0,0,,
,WINEX SUSP 60ML,,NOS,,,0,10,180,0,0,0,0,,
,WINEX 400MG CAPS 6S,,NOS,CAPSULES,,2,10,180,0,0,0,0,,
,WINEX 200MG CAPS 8S,,NOS,,,0,10,180,0,0,0,0,,
,WHITFIELDS OINTMENT BELLS 25GM,,NOS,,,0,10,180,0,0,0,0,,
,WHITENING SOAP ORANGE YC 130GM,,NOS,,,0,10,180,0,0,0,0,,
,WHEEL CHAIR WITH BREAK MARVEL,,NOS,SURGICALS,,3,10,180,0,0,0,0,,
,WHEEL CHAIR WITH BELT MARVEL,,NOS,SURGICALS,,4,10,180,0,0,0,0,,
,WHEEL CHAIR ORTHOTEC,,NOS,,,0,10,180,0,0,0,0,,
,WHEEL CHAIR MARVEL,,NOS,SURGICALS,,4,10,180,0,0,0,0,,
,WHEEL CHAIR HEAVY DUTY ORTHOTEC,,NOS,,,0,10,180,0,0,0,0,,
,WHEEL CHAIR HEAVY DUTY BROTHER MEDICAL,,NOS,SURGICALS,,1,10,180,0,0,0,0,,
,WELLWOMAN ORGINAL CAPS 30S,,PACK,,,0,10,180,0,0,0,0,STRIPS,2
,WELLWOMAN 50+ CAPS 26S,,,,,0,10,180,6,7.9,0,0,,
,WELLOXON 9% 60ML,,NOS,COSMETICS,,6,10,180,0,0,0,5,,
,WELLOXON 6% 60ML,,NOS,COSMETICS,,5,10,180,0,0,0,5,,
,WELLMAN ORIGINAL TAB 30S,,PACK,,,0,10,180,0,0,0,0,STRIPS,2
,WELLMAN CONCEPTION CAPS 30S,,,,,0,10,180,12.768,16.8,0,0,,
,WELLION FRIGO MEDICAL COOLER BAG,,NOS,,,0,10,180,0,0,0,0,,
,WELLA BLONDOR GELI 1+3 10GM,,NOS,,,0,10,180,0,0,0,0,,
,WAXSOL EAR DROPS 10ML,,NOS,,,0,10,180,0,0,0,0,,
,WATER WIPES BABY WIPES 60S,,NOS,,,0,10,180,0,0,0,0,,
,WATER BED MEDICURE ,,NOS,SURGICALS,,1,0,0,3,5,0,0,,
,WARTY CREAM WITH SALICYLIC ACID 15ML,,NOS,MEDICAL OINTMENTS & CREAM,,11,10,180,0,0,0,0,,
,WARDA 3MG/0.02MG TAB 84S,,PACK,,,0,10,180,0,0,0,0,STRIPS,3
,WALKING STICK WITH TORCH ELDERLY CRUTCH,,NOS,,,0,10,180,0,0,0,0,,
,WALKING STICK WITH MOVABLE BUSH MARVEL,,NOS,,,0,10,180,0,0,0,0,,
,WALKING STICK WITH ADJUSTER NEBULA,,,,,0,10,180,2.5,7,0,0,,
,WALKING STICK STEEL SINGLE LEG MEDCARE,,NOS,,,0,10,180,0,0,0,0,,
,WALKING STICK SQUARE 4 FOOT MARVEL,,,,,0,10,180,3.65,8,0,0,,
,WALKING STICK NEBULA,,NOS,SURGICALS,,16,10,180,0,0,0,0,,
,WALKING STICK MEDCARE,,NOS,,,0,10,180,0,0,0,0,,
,WALKING STICK MARVEL,,NOS,SURGICALS,,8,10,180,0,0,0,0,,
,WALKING STICK FOUR LEGS MEDCARE,,NOS,,,0,10,180,0,0,0,0,,
,WALKING STICK FOLDABLE,,NOS,,,0,10,180,0,0,0,0,,
,WALKING STICK 4 FOOT ORTHOTEC,,NOS,,,0,10,180,0,0,0,0,,
,WALKING STICK 4 FOOT MARVEL,,NOS,SURGICALS,,7,10,180,0,0,0,0,,
,WALKING STICK 4 FOOT BLACK MARVEL,,NOS,,,0,10,180,0,0,0,0,,
,WALKING STICK 3 FOOT MARVEL,,NOS,SURGICALS,,1,10,180,0,0,0,0,,
,WALKER FRAME WITH WHEELS ORTHOTEC,,NOS,,,0,10,180,0,0,0,0,,
,WALKER FRAME WITH WHEEL MARVEL,,NOS,SURGICALS,,3,10,180,0,0,0,0,,
,WALKER FRAME WITH WHEEL BROMED,,NOS,,,0,10,180,0,0,0,0,,
,WALKER FRAME MARVEL,,NOS,SURGICALS,,3,10,180,0,0,0,0,,
,WALKER & CRUTCHES ACCESSORIES,,NOS,,,0,10,180,0,0,0,0,,
,WALES GOLDEN HONEY 10GM SACHETS 24S,,PACK,,,0,10,180,0,0,0,0,STRIPS,6
,VTALITY BOOST TAB 20S,,NOS,,,0,10,180,0,0,0,0,,
,VPS PREMIER WEIGHT SOLUTION VANILLA 1KG,,NOS,,,0,10,180,0,0,0,0,,
,VPS PREMIER PROTEIN POWDER 400GM,,NOS,,,0,10,180,0,0,0,0,,
,VPS PREG POWDER VANILLA 400GM,,NOS,,,0,10,180,0,0,0,0,,
,VPS DIA POWDER VANILLA 400GM,,NOS,,,0,10,180,0,0,0,0,,
,VOMINORE TAB 20S,,PACK,,,0,10,180,0,0,0,0,STRIPS,2
,VOLTIC 50MG TAB 20S,,PACK,TABLETS,,7,10,180,0,0,0,0,STRIPS,2
,VOLTFAST 50MG POWDER 9S,,PACK,POWDER,,0,10,180,0,0,0,0,STRIPS,9
,VOLTFAST 50MG POWDER 30S,,PACK,POWDER,,85,10,180,0,0,0,0,STRIPS,10
,VOLTAREN SR 75MG TAB 10S,,PACK,,,0,10,180,0,0,0,0,,
,VOLTAREN RETARD 100MG TAB 10S,,PACK,TABLETS,,10,10,180,0,0,0,0,,
,VOLTAREN EMULGEL 50GM,,NOS,MEDICAL OINTMENTS & CREAM,,8,10,180,0,0,0,0,,
,VOLTAREN EMULGEL 12HRS 50GM,,NOS,MEDICAL OINTMENTS & CREAM,,22,10,180,0,0,0,0,,
,VOLTAREN D50 MG TAB 20S,,PACK,,,0,10,180,0,0,0,0,STRIPS,2
,VOLTAREN 50MG TAB 20S,,PACK,,,0,10,180,0,0,0,0,STRIPS,2
,VOLTAREN 12.5MG SUPP 10S,,PACK,,,0,10,180,0,0,0,0,STRIPS,2
,VOLTAREN 100MG SUPP 5S,,NOS,,,0,10,180,0,0,0,0,,
,VLCC SKIN WHITENING CREAM 50GM,,NOS,,,0,10,180,0,0,0,0,,
,VLCC MANDARIN LIPSHIELD 4.5GM,,NOS,,,0,10,180,0,0,0,0,,
,VLCC COCOA BUTTER LIPSHIELD 4.5GM,,NOS,,,0,10,180,0,0,0,0,,
,VIVOCARE NEBULIZER LUCKY,,NOS,,,0,10,180,0,0,0,0,,
,VIVOCARE DIGITAL THERMOMETER THERMY,,NOS,,,0,10,180,0,0,0,0,,
,VIVOCARE DIGITAL THERMOMETER SHINY,,NOS,,,0,10,180,0,0,0,0,,
,VIVOCARE BREAST PUMP ELECTRICAL SMILKY,,NOS,,,0,10,180,0,0,0,0,,
,VITIFECT SYRUP 120ML,,NOS,,,0,10,180,0,0,0,0,,
,VITC CHEWABLE TAB 30S,,PACK,,,0,10,180,0,0,0,0,STRIPS,3
,VITC CHEWABLE TAB 100S,,PACK,,,0,10,180,0,0,0,0,STRIPS,10
,VITASOHN FRUTTINE MULTIVITAMIN GUMMIES 60S,,NOS,,,0,10,180,0,0,0,0,,
,VITASKIN VIT C CREAM 50ML,,NOS,COSMETICS,,17,10,180,0,0,0,5,,
,VITARNIN EFFERVESCENT TAB 10S,,NOS,,,0,10,180,0,0,0,0,,
,VITAPLUS PILL CUTTER ,,NOS,SURGICALS,,6,5,180,1.2,1.8,0,0,,
,VITAPLUS EAR PLUG 3S,,NOS,SURGICALS,,3,10,180,1.235,1.8,0,5,,
,VITANES VIT C+D3 ORANGE TAB 60S,,NOS,,,0,10,180,0,0,0,0,,
,VITANES VIT C TROPICAL BREEZ CHEWABLE TAB 60S,,NOS,,,0,10,180,0,0,0,0,,
,VITANES VIT C NATURAL GRAPE CHEWABLE TAB 60S,,NOS,,,0,10,180,0,0,0,0,,
,VITANES VIT C GINGER CHEWABLE TAB 60S,,NOS,,,0,10,180,0,0,0,0,,
,VITANES VIT C CITRUS CHEWABLE TAB 60S,,NOS,,,0,10,180,0,0,0,0,,
,VITANES SPECIAL VIT C+D3 ORANGE TAB 60S,,NOS,,,0,10,180,0,0,0,0,,
,VITAMIN E-400 IU CAPS 30S,,NOS,,,0,10,180,0,0,0,0,,
,VITAMIN E SERUM ROUSHUN 30ML,,NOS,,,0,10,180,0,0,0,0,,
,VITAMIN E FACIAL SERUM FLORENCE 30ML,,NOS,,,0,10,180,0,0,0,0,,
,VITAMIN E 400MG CAPS 24S,,PACK,,,0,10,180,0,0,0,0,STRIPS,2
,VITAMIN C-SEDICO 10S,,NOS,,,0,10,180,0,0,0,0,,
,VITAMIN C SWISS ENERGY 1000 MG TAB 20S,,NOS,,,0,10,180,0,0,0,0,,
,VITAMIN C SERUM 30ML,,NOS,,,0,10,180,0,0,0,0,,
,VITAMIN C RADIPLEX EFFERVESCENT TAB 20S,,NOS,,,0,10,180,0,0,0,0,,
,VITAMIN C PLUS 1000MG EFF SACHETS 15S,,PACK,,,0,10,180,0,0,0,0,STRIPS,15
,VITAMIN C GUMMIES CGN 90S,,NOS,,,0,10,180,0,0,0,0,,
,VITAMIN C FACIAL CLEANSER 120ML,,NOS,,,0,10,180,0,0,0,0,,
,VITAMIN C FACE SERUM DR RASHEL 50ML,,NOS,,,0,10,180,0,0,0,0,,
,VITAMIN C FACE CREAM DR RASHEL 50GM,,NOS,COSMETICS,,1,10,180,0,0,0,5,,
,VITAMIN C EYE SERUM DR RASHEL 30ML,,NOS,,,0,10,180,0,0,0,0,,
,VITAMIN C EFFERVESCENT TAB 20S,,NOS,,,0,10,180,0,0,0,0,,
,VITAMIN C 250MG GUMMIES 60S,,NOS,,,0,10,180,0,0,0,0,,
,VITAMIN B12 LIQUID MARNYS 30ML,,NOS,,,0,10,180,0,0,0,0,,
,VITAMIN B12 LIQUID MARNYS 30ML,,NOS,,,0,10,180,0,0,0,0,,
,VITAMIN B COMPLEX TAB 40S,,PACK,,,0,10,180,0,0,0,0,STRIPS,2
,VITAMIN A 10000 MCG 100S,,NOS,,,0,10,180,0,0,0,0,,
,VITAMATIC MELATONIN 10MG VEGAN GUMMIES 60S,,NOS,,,0,10,180,0,0,0,0,,
,VITALITY BOOST TAB 20S,,NOS,,,0,10,180,0,0,0,0,,
,VITALAE 3 ADVANCED 400GM,,NOS,BABY FOODS,,3,10,180,1.376,3.1,0,0,,
,VITALAE 2 ADVANCED 400GM,,NOS,BABY FOODS,,0,10,180,0,0,0,0,,
,VITALAE 1 ADVANCED 400GM,,NOS,BABY FOODS,,8,10,180,1.562,3.5,0,0,,
,VITAHAIR ANTI HAIR LOSS AMPOULES 10S,,NOS,,,0,10,180,0,0,0,0,,
,VITAENE DRINK 240ML,,NOS,,,0,10,180,0,0,0,0,,
,VITA JOINT 30S,,PACK,,,0,10,180,0,0,0,0,STRIPS,3
,"VIT D3 50,000IU CAPS 30S",,NOS,,,0,10,180,0,0,0,0,,
,VIT D LIQUID 30ML,,NOS,,,0,10,180,0,0,0,0,,
,VISSCO TENNIS ELBOW PRO SUPPORT,,NOS,,,0,10,180,0,0,0,0,,
,VISSCO CERVICAL PILLOW DELUXE,,NOS,,,0,10,180,0,0,0,0,,
,VISOMAT COMFORT FORM BLOOD PRESSURE MONITOR,,NOS,SURGICALS,,4,10,180,0,0,0,0,,
,VISMED MULTI 0.3ML EYE DROP 10ML,,NOS,DROPS,,5,10,180,0,0,0,0,,
,VISMED LUBRICANT EYE DROPS 20ML,,NOS,,,0,10,180,0,0,0,0,,
,VISMED EYE GEL,,NOS,,,0,10,180,0,0,0,0,,
,VISIONACE CAPS 30S,,PACK,,,0,10,180,0,0,0,0,STRIPS,2
,VISCOR 20MG TAB 30S,,PACK,,,0,10,180,0,0,0,0,STRIPS,3
,VISCOLEB COUGH SYRUP 100ML,,NOS,,,0,10,180,0,0,0,0,,
,VISCODRIL EXPECTORANT 100ML,,NOS,SYRUP,,802,10,180,0,0,0,0,,
,VIRUSTAT-200 MG TAB 30S,,PACK,,,0,10,180,0,0,0,0,STRIPS,3
,VIRU-MERZ GEL 10GM,,NOS,,,0,10,180,0,0,0,0,,
,VIRGYNO VIRGIN KONICARE SOAP 125GM,,NOS,,,0,10,180,0,0,0,0,,
,VIRECTA 50MG TAB 3S,,NOS,,,0,10,180,0,0,0,0,,
,VIPRAVITA C 500MG TAB 30S,,NOS,,,0,10,180,0,0,0,0,,
,VIGOR DOTTED CONDOMS 3S,,NOS,,,0,10,180,0,0,0,0,,
,VIGAMOX EYE DROPS 5ML,,NOS,,,0,10,180,0,0,0,0,,
,VICTORIAS SECRET VERY SEXY LOTION 250ML,,NOS,,,0,10,180,0,0,0,0,,
,VICTORIAS SECRET TEASE PERFUME 100ML,,NOS,,,0,10,180,0,0,0,0,,
,VICTORIAS SECRET PERFUME 250ML,,NOS,,,0,10,180,0,0,0,0,,
,VICTORIAS SECRET ISLAND AWAY LOTION 236ML,,NOS,,,0,10,180,0,0,0,0,,
,VICTORIAS SECRET HEAVENLY LOTION 250ML,,NOS,,,0,10,180,0,0,0,0,,
,VICTORIAS SECRET GREEN PEAR&CITRUS LOTION 236ML,,NOS,,,0,10,180,0,0,0,0,,
,VICTORIAS SECRET FIRST LOVE LOTION 250ML,,NOS,,,0,10,180,0,0,0,0,,
,VICTORIAS SECRET BOMBSHELL PERFUME 100ML,,NOS,,,0,10,180,0,0,0,0,,
,VICTORIAS SECRET BOMBSHELL BEACH LOTION 250ML,,NOS,,,0,10,180,0,0,0,0,,
,VICTORIAS SECRET AQUA KISS PERFUME 75ML,,NOS,,,0,10,180,0,0,0,0,,
,VICKS VAPORUB 50GM,,NOS,MEDICAL OINTMENTS & CREAM,,615,10,180,0,0,0,0,,
,VICKS VAPORUB 100GM,,NOS,,,0,10,180,0,0,0,0,,
