"product_name","number","purchase_price","price_per_unit","sale_price","expiry_date","stock"
"VOLTAREN SR 75MG TAB 10S","TEFA5",1.224,1.224,1.49,"01-01-2027",4
"VOLTAREN EMULGEL 50GM","8S2B",1.349,1.349,1.84,"04-01-2027",2
"VOLTAREN EMULGEL 12HRS 50GM","9H2P",2.293,2.293,3.24,"04-01-2027",3
"VOLTAREN 50MG TAB 20S","A00SCU",2.938,2.938,3.58,"12-01-2025",1
"VITIFECT SYRUP 120ML","230031",0.87,0.87,1.32,"01-01-2026",1
"VITASKIN VIT C CREAM 50ML","VIT22103",2.619,2.619,7.24,"11-01-2025",2
"VITAPLUS EAR PLUG 1S","1000",0.2,0.2,0.6,"01-01-2030",37
"VITAMIN C FACE SERUM DR RASHEL 50ML","DR2402050",0.875,0.875,2.5,"04-01-2028",1
"VITAMIN C FACE CREAM DR RASHEL 50GM","DR2202005",0.917,0.917,2.4,"04-01-2026",1
"VITALAE NO 3 ADVANCED 400GM","2P230384808",2.359,2.359,3.1,"10-01-2025",2
"VITALAE NO 1 ADVANCED 400GM","2P230387457",3.124,3.124,3.5,"11-01-2025",3
"VISOMAT COMFORT FORM BLOOD PRESSURE MONITOR","1000",19.305,19.305,33,"01-01-2030",1
"VISMED MULTI 0.3ML EYE DROP 10ML","SG0053",3.15,3.15,3.95,"07-01-2026",2
"VISMED LUBRICANT EYE DROPS 20ML","SA0024",4.73,4.73,5.914,"02-01-2026",2
"VISMED EYE GEL","SA0032",4.45,4.45,6.685,"04-01-2026",1
"VISCODRIL EXPECTORANT 100ML","4EC057A",0.525,0.525,0.8,"07-01-2027",6
"VIRECTA 50MG TAB 3S","2411351",1.03,1.03,2.51,"11-01-2026",1
"VIGAMOX EYE DROPS 5ML","VHA9A",2.36,2.36,2.87,"05-01-2026",2
"VICKS VAPORUB 50GM","4064028850",0.675,0.675,1.391,"02-01-2027",2
"VICKS INHALER 1ML","4226028860",0.62,0.62,1.142,"06-01-2026",2
"VICKS BABY RUB 50GM","3178028850",1.652,1.652,2.06,"12-01-2025",3
"VICHY NORMADERM INTENSIVE PURIFYING GEL 200ML","54Y902",8.646,8.646,12.009,"09-01-2027",1
"VICHY LIFTACTIV SPECIALIST B3 SERUM 30ML","54XN4N",17.751,17.751,22.75,"06-01-2026",1
"VICHY DERCOS ENERGSING SHAMPOO WITH AMINEXIL 200ML","44Y700",4.9,4.9,7.692,"01-01-2029",1
"VICHY DERCOS A/D SHAMPOO NORMAL TO OILY HAIR 200ML","44Y204",6.123,6.123,8.507,"01-01-2029",2
"VICHY DERCOS A/D SHAMPOO DRY HAIR 200ML","44Y403",5.652,5.652,8.549,"01-01-2029",3
"VICHY DERCOS A/D SENSITIVE SCALP SHAMPOO 200ML","44Y404",6,6,7.692,"01-01-2029",1
"VICHY CAPITAL SPF50 BB TINTED DRYTOUCH FLUID 50ML","54Y203",7.499,7.499,9.614,"01-01-2028",1
"VICHY CAPITAL SOLEIL SPF50 VELVETY CREAM 50ML","54Y032",3.48,3.48,9.372,"03-01-2027",1
"VICHY CAPITAL SOLEIL SPF50 DRYTOUCH FLUID 50ML","54YF503",6.748,6.748,9.372,"05-01-2027",4
"VICHY 96 HR HOMME CLINICL CNTRL DETRANSPIRANT 50ML","147200",5.731,5.731,7.347,"01-01-2028",2
"VICHY 96 HR CLINICAL CONTROL ANTI PERSPIRANT 50ML","14Y800",4.017,4.017,7.347,"01-01-2028",1
"VICHY 72 HR STRESS RESIST ANTI PERSPIRANT 50ML","14Y701",4.017,4.017,5.598,"01-01-2028",2
"VICHY 48 HR INTENSE ANTI PERSPIRANT 50ML","14S42T",4.017,4.017,5.598,"01-01-2028",5
"VICHY 48 HR FRAGRANCE FREE ANTI PERSPIRANT 50ML","14Y800",4.017,4.017,5.598,"01-01-2028",2
"VICHY 48 HR DEODORANT MINERAL ROLL ON 50ML","54X300",4.095,4.095,5.921,"01-01-2028",1
"VICHY 48 HR BEAUTY DEO ANTI PERSPIRANT 50ML","14Y400",4.017,4.017,5.598,"01-01-2028",1
"VIAGRA 50MG TAB 4S","B859505",7.124,7.124,8.68,"09-01-2028",3
"VIAGRA 100MG TAB 4S","COO6909",7.12,7.12,8.68,"01-01-2029",3
"VERINE 135MG TAB 30S","1141316",0.861,0.861,2.1,"09-01-2025",1
"VENTOLIN 100MCG EVOHALER 200MD","PE4P",1.39,1.39,2.03,"03-01-2026",7
"VENTOL SYRUP 120ML","NS621",0.252,0.252,0.46,"10-01-2026",4
"VASELINE ORIGINAL 100ML","338",0.65,0.65,0.9,"06-01-2027",3
"VASELINE LIP CARE+COLOUR STICK KISSING RED 3GM","9",2.472,2.472,2.719,"11-01-2025",1
"VAGICLIND 2% VAGINAL CREAM 20GM","230338",1.388,1.388,3.63,"06-01-2026",2
"UVAMIN RETARD 100MG CAPS 20S","23090663",1.23,1.23,1.5,"07-01-2026",1
"URISOL 4GM SACHETS 14S","OM16024",1.136,1.136,1.8,"05-01-2026",8.571428571
"URINE COLLECTION BAG","202308",0.4,0.4,0.8,"07-01-2028",3
"URILAX 5MG TAB 30S","3XY051",6,6,8.41,"06-01-2026",1
"URIAGE HYSEAC CLEANSING GEL 500ML","151355000",6.142,6.142,9,"01-01-2029",1
"URALYT-U GRANULES 280GM","8165636",4.612,4.612,5.62,"02-01-2029",1
"URAL EFFERVESCENT GRANULES 4GM 28S","EA339",2.837,2.837,3.61,"04-01-2027",1.321428571
"UNIVIT E 400MG CAPS 40S","002H",2.254,2.254,4.12,"07-01-2026",3
"UNICAM GEL 50GM","611D",0.893,0.893,1.42,"11-01-2026",3
"UNDERARM CRUTCHES MARVEL SMALL","1000",2.75,2.75,6,"01-01-2030",2
"UNDERARM CRUTCHES MARVEL MEDIUM","1000",2.8,2.8,6,"01-01-2030",2
"UNDERARM CRUTCHES MARVEL LARGE","1000",2.8,2.8,6,"01-01-2030",2
"ULTRA VIT C 500MG TAB 60S","UBC2403AA",1.175,1.175,6.43,"12-01-2026",1
"ULTRA L-CARNITINE TAB 60S","UAC2401P",1.663,1.663,9.09,"03-01-2027",0.75
"ULTRA CO-Q10 TAB 60S","UCT2302P",1.828,1.828,10.17,"04-01-2026",1.75
"TYRA 20MG TAB 4S","8788",2.03,2.03,5.69,"02-01-2027",3.5
"TYNOR WRIST BRACE WITH DOUBLE LOCK","1000",0.964,0.964,1.8,"01-01-2030",2
"TYNOR POD 19MM","1000",0.625,0.625,1,"01-01-2030",3
"TYNOR KNEE CAP OPEN PATELLA","1000",2.571,2.571,4,"01-01-2030",3
"TYNOR FROG SPLINT","1000",1.157,1.157,1.8,"01-01-2030",1
"TYNOR FOREARM SPLINT","1000",3.214,3.214,5,"01-01-2030",2
"TYNOR FINGER COT","1000",1.157,1.157,1.8,"01-01-2030",3
"TYNOR EXERCISING BALL ORTHO","1000",0.643,0.643,1,"01-01-2030",2
"TYNOR EXERCISING BALL NEURO","1000",0.643,0.643,1.2,"01-01-2030",4
"TYNOR COMPRESSION STOCKINGS MID THIGH CLASSIC","1000",4.821,4.821,8,"01-01-2030",2
"TYNOR COMPRESSION STOCKINGS BELOW KNEE I-16","1000",4.2,4.2,6,"01-01-2030",1
"TYNOR ARM SLING BAGGY JUNIOR","1000",2.572,2.572,4,"01-01-2030",2
"TYNOR ARM SLING BAGGY","1000",3,3,4,"01-01-2030",2
"TYNOR ANKLET COMFEEL","1000",2.571,2.571,4,"01-01-2030",1
"TYNOR ABDOMINAL SUPPORT","1000",4.178,4.178,6.5,"01-01-2030",3
"TYLENOL 200 SUPPOSITORIES 10S","24CQ14201",1.182,1.182,1.44,"02-01-2026",2
"TWYNSTA 80MG/10MG TAB 28S","24A0216",7.033,7.033,8.57,"06-01-2026",1
"TRYPTIZOL 25MG TAB 30S","M0340",0.277,0.277,1.41,"07-01-2027",2.666666667
"TRIPOFED SYRUP 100ML","0S418",0.39,0.39,0.61,"06-01-2027",2
"TRIPOFED EXPECTORANT 100ML","0S540",0.291,0.291,0.46,"07-01-2027",3
"TRIOPAN SYRUP 100ML","BE0368",0.96,0.96,2.34,"05-01-2026",8
"TRILAGAVIT TAB 30S","240137",1.533,1.533,2.99,"04-01-2026",4
"TRAVOCORT CREAM 20GM","YY06TC2",1.707,1.707,2.33,"08-01-2027",3
"TRAVATAN EYE DROPS 2.5ML","VFM40B",4.317,4.317,5.26,"03-01-2026",1
"TOUJEO INSULIN PFPEN 300U/ML 3S","2453",20.952,20.952,25.53,"",1
"TOPRAZOLE 40MG TAB 15S","4UF290E",1.948,1.948,3.56,"08-01-2027",1
"TONGUE DEPRESSOR 100S","42022",0.7,0.7,1.2,"04-01-2027",1
"TONGUE CLEANER MEDISURE","1000",0.767,0.767,1.24,"01-01-2030",3
"TOBREX EYE DROPS 3.5ML","VHD01F",1.682,1.682,2.05,"05-01-2026",1
"TOBRADEX OPHTHALMIC SUSPENSION 5ML","VHN03A",1.863,1.863,2.27,"05-01-2026",6
"TIP TOP BABY NAIL CLIPPERS","1000",0.25,0.25,0.67,"01-01-2030",6
"TIN TIN LIDO ORANGE LOZENGES 24S","K1024001",0.758,0.758,2.64,"02-01-2027",2
"TIMOLOL 0.5% STERILE EYE DROPS 5ML","2403558",0.84,0.84,1.12,"07-01-2026",3
"TIGER BALM WHITE OINTMENT 19.4GM","C220675",0.5,0.5,0.8,"11-01-2026",1
"TIGER BALM PLASTERS WARM 10CM X 14CM 2S","S240197",0.969,0.969,1.4,"01-01-2026",1
"TIGER BALM PLASTERS COOL 7CM X 10CM 2S","S220722",0.692,0.692,1,"07-01-2025",1
"TIDILOR SYRUP 100ML","3220020",0.515,0.515,1.13,"02-01-2026",3
"THROATSIL LOZENGES WILD BERRIES 24S","WBT2410",0.657,0.657,1.6,"09-01-2027",6.5
"THROATSIL LOZENGES ORANGE 24S","TOT24112",0.657,0.657,1.6,"09-01-2027",8
"THROATSIL LOZENGES MENTHOL 24S","TBT2303",0.657,0.657,1.6,"01-01-2026",6
"THROATSIL LOZENGES HONEY & LEMON 24S","TWT2322",0.656,0.656,1.6,"09-01-2026",4
"THIOTACID 600MG TAB 20S","2208669",6.3,6.3,7.92,"08-01-2025",0.5
"THERMOSEAL PROXA NS 5S","52024",1.3,1.3,1.5,"04-01-2029",1
"THERMOSEAL PROXA INTERDENTAL BRUSHES 5S","102023",1.07,1.07,1.35,"09-01-2028",3
"THE ORDINARY LACTIC ACID 10% + HA 30ML","3Z146A",6.3,6.3,7.875,"01-01-2028",1
"THE ORDINARY HYALURONIC ACID 2% + B5 30ML","3Z176B",6.3,6.3,7.875,"01-01-2028",1
"THE ORDINARY GRANACTIVE RETINOID 2% EMULSION 30ML","1H4K",9.45,9.45,11.813,"01-01-2028",1
"THE ORDINARY CAFFEINE SOLN 5% + EGCG 30ML","3FDC",6.3,6.3,7.875,"01-01-2028",2
"TENTEX ROYAL CAPS 30S","112301655",6.95,6.95,10,"05-01-2026",0.333333333
"TENORMIN 25MG TAB 28S","SP669",1.461,1.461,1.78,"11-01-2025",1
"TENORMIN 100MG TAB 28S","SP339",1.953,1.953,2.38,"10-01-2025",1
"TELFAST 180MG TAB 15S","KT0902",2.537,2.537,3.09,"04-01-2027",1
"TELFAST 120MG TAB 15S","KT0044",2.347,2.347,2.86,"12-01-2026",2
"TEGRETOL 200MG TAB 50S","TFAC6",2.421,2.421,2.95,"11-01-2025",1
"TEEJEL GEL 10GM","24F325B2",1.652,1.652,2.33,"06-01-2029",20
"TED 20MG TAB 4S","ET0864009A",7.25,7.25,10.12,"06-01-2027",1.75
"TEARS GUARD EYE DROPS 15ML","824146",0.8,0.8,1.2,"08-01-2027",4
"TAVANIC 500MG TAB 5S","3T48A",7.6,7.6,9.33,"12-01-2026",1
"TASKINE 400MG SOFTGEL CAPS 20S","800H",0.219,0.219,0.96,"11-01-2025",0.5
"TARRAD INSECT REPELLENT SPRAY 100ML","763",2.083,2.083,3.25,"07-01-2026",2
"TANTUM ROSA POWDER SACHETS 5S","2403573",0.625,0.625,0.84,"04-01-2028",2
"TAKEPRON 30MG CAPS 14S","354167",3.709,3.709,4.52,"10-01-2027",1
"TADALEX 20MG TAB 4S","24007",3.496,3.496,8.52,"01-01-2027",2
"TABUNEX 0.05% NASAL 120 METERED SPRAY","3UW917E",2.74,2.74,4.34,"03-01-2026",2
"TABIFLEX COOL GEL 50GM","4KK1835",0.623,0.623,1.14,"08-01-2027",3
"SYSTANE ULTRA UD EYE DROPS 0.7ML X 30S","24232A",4.583,4.583,5.875,"04-01-2026",2
"SYSTANE ULTRA MD 10ML","16VV41",3.939,3.939,5.05,"05-01-2026",2
"SYSTANE GEL DROPS 10ML","16WUM5",4.797,4.797,6.15,"05-01-2026",2
"SYSTANE EYE DROPS 10ML","173CK4",1.76,1.76,2.23,"09-01-2026",6
"SYRINGE PIC INSUMED 1ML 10S","2403467",0.478,0.478,0.85,"03-01-2029",33
"SYRINGE 5ML 100S","20220309",0.013,0.013,0.085,"03-01-2027",41
"SYRINGE 3ML 100S","202239",0.01,0.01,0.075,"03-01-2027",75
"SYRINGE 20ML 50S","20231125",0.042,0.042,0.145,"11-01-2028",42
"SYRINGE 1ML 100S","20220820",0.02,0.02,0.06,"08-01-2027",1
"SYRINGE 10ML 100S","20240531",0.032,0.032,0.095,"05-01-2029",97
"SYNOSHIELD FORTE TAB 60S","12305",9.874,9.874,14.4,"09-01-2026",1
"SURGICAL SPIRIT AMEYA 200ML","2403003",0.714,0.714,1.1,"03-01-2027",1
"SUPIROCIN 2% OINTMENT 15GM","10242211",1.574,1.574,2.11,"08-01-2026",4
"SUPERORTHO SHOULDER SUPPORT","1000",4.5,4.5,9,"01-01-2029",3
"SUPERORTHO ELASTIC LUMBAR SUPPORT A5-007","1000",6.5,6.5,13,"01-01-2029",3
"SUPERORTHO ARM SLING","1000",2.363,2.363,4.2,"01-01-2029",2
"SUPERORTHO ABDOMINAL BINDER B5-020","1000",5,5,10,"01-01-2029",2
"SULFUR SOAP SKIN DOCTOR 80GM","34",0.392,0.392,1,"05-01-2028",6
"SULFOLITE SOAP 75GM","M062",0.948,0.948,1.4,"08-01-2027",2
"STREPSILS SORE THROAT & BLOCKED NOSE LOZENGES","NT974",1.083,1.083,1.843,"02-01-2026",1.5
"STREPSILS ORGINAL LOZENGES 24S","RB780",1.05,1.05,1.675,"05-01-2026",1.5
"STREPSILS ORANGE WITH VIT C 100MG LOZENGES 24S","RB308",0.52,0.52,1.843,"05-01-2026",5
"STREPSILS LEMON SUGAR FREE LOZENGES 16S","NN437",1.083,1.083,1.843,"01-01-2026",1.5
"STREPSILS INTENSIVE LOZENGES 16S","RW811",1.3,1.3,1.61,"12-01-2026",2.5
"STREPSILS EXTRA BLACKCURRANT LOZENGES 24S","NV496",1.083,1.083,2.09,"02-01-2026",3
"STREPSILS COOL LOZENGES 16S","RB185",1.083,1.083,1.843,"06-01-2026",4
"STOUT EXTACY MULTITEXTURED CONDOM 10S","ST005",0.667,0.667,2,"01-01-2026",2
"STOUT BAREFEEL ULTRATHIN CONDOM 10S","ST001",0.666,0.666,2,"01-01-2026",2
"STORVAS 20MG TAB 30S","PTF4665C",5.572,5.572,6.79,"09-01-2026",2
"STORVAS 10MG TAB 30S","PTF2046C",2.114,2.114,2.79,"04-01-2026",4.666666667
"STOPOUX ANTI LICE SPRAY 50ML","18323",2.407,2.407,4.4,"10-01-2026",6
"STOPKOF COUGH SYRUP 100ML","DAL24023",0.385,0.385,0.8,"12-01-2027",7
"STOP LICE ANTILICE SHAMPOO 250ML","BS17040124",1.95,1.95,3.9,"04-01-2027",5
"SPORIDEX 500MG CAPS 10S","DFF4745A",0.77,0.77,1.05,"06-01-2026",1
"SPECTRUM HEATING PAD","1000",9.5,9.5,17.5,"01-01-2029",1
"SORTIVA H 50/12.5 TAB 30S","1150558",0.963,0.963,3.85,"09-01-2026",1
"SORCIERE SHAMPOO 500ML","7466",2.88,2.88,4.8,"01-01-2026",2
"SORCIERE HAIR GROWER 160ML","236",11.8,11.8,16.25,"08-01-2026",2
"SOOTHE CREAM 30GM","4EK005B",0.574,0.574,0.7,"09-01-2026",2
"SONGHA NIGHT TAB 30S","RO141011",3.24,3.24,4.5,"02-01-2026",1
"SOLO SOFT CARE 130ML","G24077",1.538,1.538,2.5,"05-01-2027",3
"SOLGAR GLUCOSAMINE HYALU+CHONDRO+MSM TAB 60S","4285UMO717",8.288,8.288,11.2,"08-01-2027",1
"SOLGAR CHELATED ZINC TAB 100S","4313UM0729",3.095,3.095,4.2,"10-01-2027",1
"SODIUM CHLORIDE INHALATION SOLUTION 2.5ML 10S","2464014E",0.519,0.519,0.9,"05-01-2027",12
"SNAFI 20MG TAB 4S","1148068",4.297,4.297,10.47,"06-01-2026",3
"SMILE PREGNANCY TEST","20240731",0.7,0.7,2.5,"07-01-2027",9
"SMILE ELECTRIC BREAST PUMP","1000",0,0,37.5,"01-01-2029",1
"SMILE DIGITAL BP MONITOR","1000",13,13,26,"01-01-2029",2
"SMILE COMPRESSOR NEBULISER","1000",12,12,26,"01-01-2029",2
"SMART FINE INSULIN 6MM PEN NEEDLES 100S","54J74V",2.6,2.6,6,"10-01-2025",0.83
"SMART FINE INSULIN 4MM PEN NEEDLES 100S","EY14MM",2.6,2.6,6,"09-01-2025",1.04
"SMART BABY SOFT TEETHER","1000",0.5,0.5,0.95,"01-01-2030",3
"SMART BABY PACIFIER","1000",0.5,0.5,0.955,"01-01-2030",2
"SMART BABY MEDICINE DROPPER","1000",0.45,0.45,0.86,"01-01-2030",3
"SMART BABY GLASS FEEDING BOTTLE WITH HANDLE 240ML","1000",1.121,1.121,2.476,"01-01-2030",4
"SMART BABY GLASS FEEDING BOTTLE WITH HANDLE 120ML","1000",0.991,0.991,2.19,"01-01-2030",2
"SMART BABY FRUIT TOOTH GEL","1000",0.6,0.6,1.05,"01-01-2030",3
"SMALL WONDER MANUAL BREAST PUMP","1000",3,3,8,"01-01-2030",1
"SLEEPNEED 5MG TAB 30S","WF24729",0,0,3.3,"09-01-2027",3.333333333
"SLEEPNEED 10MG TAB 30S","WF24655",2.5,2.5,3.9,"07-01-2027",3
"SKINOREN CREAM 30GM","YY071C8",2.897,2.897,3.53,"10-01-2027",2
"SKIN DOCTOR SPF80 SUN PROTECTION FACE CREAM 125ML","23094",0.583,0.583,2.3,"10-01-2027",1
"SKIN DOCTOR SPF60 SUNBLOCK CREAM 50ML","67063",0.5,0.5,1.8,"07-01-2028",5
"SKIN DOCTOR COSMETIC PADS 80S","1000",0.425,0.425,0.857,"01-01-2029",2
"SIRDALUD 2MG TAB 30S","A00ULM",1.655,1.655,2.02,"02-01-2026",1
"SINECOD SYRUP 200ML","AW6C",1.927,1.927,3.17,"05-01-2027",4
"SINECOD INFANT DROPS 20ML","9T7W",1.291,1.291,1.94,"05-01-2027",3
"SIMILAC NO 3 TOTAL COMFORT GOLD 820GM","65413QU01",7.956,7.956,9.2,"05-01-2026",1
"SIMILAC NO 3 TOTAL COMFORT GOLD 360GM","63529QU01",3.642,3.642,4.1,"03-01-2026",5
"SIMILAC NO 3 GOLD 400GM","66122NT",3.385,3.385,3.8,"06-01-2026",1
"SIMILAC NO 2 TOTAL COMFORT GOLD 820GM","63543QU01",8.065,8.065,9.2,"03-01-2026",7
"SIMILAC NO 2 TOTAL COMFORT GOLD 360GM","64512QU02",4.124,4.124,4.4,"04-01-2026",3
"SIMILAC NO 2 GOLD 800GM","68402NT",7.016,7.016,7.9,"08-01-2026",2
"SIMILAC NO 2 GOLD 400GM","64532NT",3.714,3.714,4.1,"04-01-2026",2
"SIMILAC NO 1 TOTAL COMFORT GOLD 360GM","69475QU02",3.172,3.172,4.4,"09-01-2026",1
"SIMILAC NO 1 GOLD 800GM","61061NT",6.993,6.993,8.1,"01-01-2026",2
"SIMILAC NO 1 GOLD 400GM","68351NT",3.871,3.871,4.3,"08-01-2026",1
"SIMILAC NEOSURE GOLD 370GM","63412QU",3.729,3.729,4.3,"03-01-2026",1
"SIMEDILL EMULSION 120ML","250154",0.728,0.728,1.4,"01-01-2028",3
"SILVADIAZIN CREAM 30GM","4992",0.418,0.418,0.51,"02-01-2026",4
"SHY-XT TOOTHPASTE 70GM","T24023",1.376,1.376,2.15,"09-01-2026",2
"SHY-NM TOOTHPASTE 100GM","SN24066",1.632,1.632,2.55,"10-01-2027",1
"SHINE VITAMIN C 500MG CHEWABLE TAB 60S","CETIA007",1.914,1.914,2.8,"01-01-2026",2
"SEVEN OCEANS OMEGA 3-6-9 SOFTGELS 60S","S2310138",5.17,5.17,6.3,"05-01-2026",1
"SEROXAT 20MG TAB 30S","CASR",1.778,1.778,6.5,"08-01-2027",2
"SEPTILIN TAB 60S","112301585",1.55,1.55,2,"05-01-2026",1
"SEPTILIN SYRUP 200ML","112400764",1.51,1.51,2,"02-01-2027",2
"SENSODYNE RAPID ACTION WHITENING TOOTHPASTE 75ML","7T5K",2.919,2.919,3.357,"04-01-2026",1
"SENSODYNE RAPID ACTION 75ML","FW7P",2.919,2.919,3.357,"07-01-2026",1
"SENSODYNE PRONAMEL REPAIR WHITENING TP 75ML","40752KWA",2.514,2.514,3.66,"01-01-2026",2
"SENSODYNE PRONAMEL REPAIR EXTRAFRESH TP 75ML","1892KWP",1.592,1.592,3.66,"05-01-2027",3
"SENSODYNE ORIGINAL TOOTHPASTE 75ML","K011",1.739,1.739,2,"02-01-2027",1
"SENSODYNE MULTICARE + WHITENING TOOTHPASTE 75ML","K146",2.546,2.546,2.928,"08-01-2027",2
"SENSODYNE HERBAL MULTICARE 100GM","3011223",2.026,2.026,2.33,"02-01-2026",2
"SENSODYNE CLINICAL WHITE ENAMEL STRNGTHNG TP 75ML","42831KWP",3.23,3.23,3.714,"08-01-2026",1
"SENERGY 5/160 MG TAB 30S","535L",1.033,1.033,4.55,"04-01-2026",2.333333333
"SEFARIN 300MG CAPS 10S","6240058",2.933,2.933,6.24,"02-01-2026",1
"SEBAMED PROTECTIVE FACIAL CREAM 50ML","40010002",2.74,2.74,3.816,"01-01-2027",4
"SEBAMED MOISTURIZING CREAM 75ML","30028004",2.68,2.68,3.51,"11-01-2026",1
"SEBAMED MOISTURIZING BODY LOTION 200ML","40010004",1.574,1.574,2.148,"02-01-2027",2
"SEBAMED LIP DEFENSE SPF30 4.8GM","4124",0.744,0.744,0.925,"06-01-2027",3
"SEBAMED INTIMATE WASH FOAM 150ML","20001006",2.018,2.018,2.95,"11-01-2025",1
"SEBAMED INTIMATE WASH 200ML","4A22XA25",1.96,1.96,2.872,"10-01-2027",2
"SEBAMED EXTRA SOFT BABY CREAM 200ML","40028009",2.128,2.128,2.926,"04-01-2027",1
"SEBAMED CLEAR FACE CLEANSING FOAM 50ML","30001010",0.818,0.818,1.1,"08-01-2026",1
"SEBAMED CLEAR FACE ANTI PIMPLE GEL 10ML","20005003",1.231,1.231,1.739,"10-01-2025",1
"SEBAMED BABY SKIN CARE OIL 150ML","4A158A04",1.69,1.69,2.2,"08-01-2027",2
