SL,product_name,number,expiry_date,purchase_price,price_per_unit,sale_price,stock,,,
21,ADOL 125MG SUPPOSITORY 10S,1534,1/6/2028,0.3,0.3,0.44,66.5,,,
22,ADOL 250MG SUPPOSITORIES 10S,3004,1/10/2028,0.525,0.525,0.8,85.5,,,
23,ADOL 250MG/5ML SUSP 100ML,6583,1/9/2027,0.42,0.42,0.64,1,,,
24,ADOL 500MG CAPLETS 24S,8295,1/10/2029,0.117,0.117,0.53,-1,,,
25,ADOL EXTRA CAPLETS 24S,4560,1/3/2027,0.43,0.43,0.54,4,,,
26,ADOL INFANT DROPS 15ML,5518,1/6/2027,0.3,0.3,0.79,24,,,
27,ADVIL 200MG TAB 50S,F52W,1/3/2028,1.321,1.321,1.76,3,,,
28,ADVIL COLD & SINUS CAPLETS 20S,2U2R,1/12/2026,0.521,0.521,1.47,14,,,
29,ADVIL LIQUI GELS 200MG CAPS 32S,V82B,1/9/2025,1.584,1.584,1.93,1,,,
30,AERINAZE 2.5MG/120MG TAB 14S,B114391,1/4/2026,2.04,2.04,2.49,1,,,
31,AERIUS 0.5MG/ML SYRUP 150ML,B107308,1/1/2026,2.2,2.2,2.72,3,,,
32,AERIUS 5MG TAB 20S,B120012,1/8/2026,2.46,2.46,3.1,5,,,
33,AERIUS TAB 30S,B120012,1/7/2026,3.815,3.815,4.65,1,,,
34,AFTIFIX ORAL GEL 15GM,001.08.24,1/8/2027,1.808,1.808,2.85,4,,,
35,AG ARTHRIFLEX CREAM 100GM,718,1/8/2027,4.5,4.5,5.8,2,,,
36,AG DIGEST 365 CAPS 30S,25318,1/9/2026,4,4,5.2,1,,,
37,AG GLUCOSAMINE TAB 60S,25286,1/10/2025,8,8,11.6,2,,,
38,AG OMEGA 3 SOFTGELS 40S,26548,1/1/2028,6,6,8.8,3,,,
39,AG OMEGA 3.6.9 SOFTGELS 40S,26457,1/11/2027,6,6,7.7,1,,,
40,AGIOLAX GRANULES 250GM,8169421,1/8/2026,1.658,1.658,2.02,3,,,
41,AID PLAST COLD PLASTER 1S,2304,1/8/2028,0.15,0.15,0.3,91,,,
42,AID PLAST HEAT PLASTER 1S,2202,1/9/2027,0.15,0.15,0.3,98,,,
43,AIDPLAST COHESIVE BANDAGE 10CM,20220412,1/4/2027,1.141,1.141,2.4,4,,,
44,AIDPLAST COHESIVE BANDAGE 5CM,20220801,1/8/2027,0.76,0.76,1.6,4,,,
45,AIDPLAST COHESIVE BANDAGE 7.5CM,20220411,1/4/2027,0.951,0.951,2,8,,,
46,AIDPLAST HOT AND COLD GEL 13X26CM,20240209,1/2/2029,1.3,1.3,2.8,4,,,
47,AIRFAST 10MG TAB 30S,4YU276,1/7/2026,7,7,10.54,1,,,
48,AIRONYL SYRUP 120ML,823656,1/7/2026,0.479,0.479,0.7,11,,,
49,AIYBAO GLASS FEEDING BOTTLE WITH HANDLE 120ML,823656,1/7/2026,1.1,1.1,2,6,,,
50,AIYBAO GLASS FEEDING BOTTLE WITH HANDLE 240ML ,1000,1/1/2030,1.205,1.205,2.6,6,,,
51,ALCOHOL SWABS TRUSCARE 100S,1000,1/1/2030,0.275,0.275,1.2,7,,,
52,ALCOHOL SWABS TRUSCARE 200S,NNTS231125,1/11/2028,0.5,0.5,1.7,14,,,
53,ALDACTONE 100MG TAB 10S,NNTS231125,1/11/2028,2.216,2.216,2.7,1,,,
54,ALDACTONE 25MG TAB 20S,B31809,1/12/2028,1.592,1.592,1.94,1.5,,,
55,ALDARA 5% CREAM 250MG,4C004E,1/2/2026,21.88,21.88,26.66,0.833333333,,,
56,ALERID 10MG TAB 10S,GC30956,1/9/2026,0.984,0.984,1.32,14,,,
57,ALFACORT CREAM 15GM,5884,1/4/2027,0.449,0.449,0.74,8,,,
58,ALFACORT OINT 15GM,4054,1/5/2029,0.477,0.477,0.64,33,,,
59,ALGESAL BAUME CREAM 40GM,12160624,1/6/2027,0.752,0.752,1.1,12,,,
60,ALISMED ADHESIVE ELASTIC BANDAGE 10CM X 4.5M,1000,,0.625,0.625,2,9,,,
61,ALKA-UR EFFERVESCENT GRANULES 10S,3624064,1/11/2027,0.585,0.585,1.2,15,,,
62,ALMOND BABY CREAM 150ML,9771123,1/11/2026,3,3,4.275,2,,,
63,ALMOND BABY CREAM 75ML,590125,1/1/2028,1.771,1.771,2.725,8,,,
64,ALPHADEE 0.25MCG CAPS 30S,740H,1/9/2025,1.8,1.8,2.64,8,,,
65,ALWAYS PREMIUM CARE PINK PADS 30S,EG8578,1/2/2027,1.032,1.032,1.285,7,,,
66,ALWAYS SANITARY VIOLET PADS 30S,EG1309,1/2/2027,1.31,1.31,1.615,1,,,
67,ALZENTAL 200MG TAB 6S,2301909,1/3/2026,0.85,0.85,1.2,10,,,
68,AMARYL 3MG TAB 30S,AMRFC002,1/8/2027,2.085,2.085,5.08,5.5,,,
69,AMBITECH DIGITAL THERMOMETER,21100569,,0.91,0.91,1.9,3,,,
70,AMCARDIA 5MG TAB 30S,PVA24002,1/5/2027,1.238,1.238,1.81,4.333333333,,,
71,AME COMPRESSOR NEBULISER,1000,1/1/2029,13.5,13.5,24,1,,,
72,AMEPEROXIDE HYDROGEN PEROXIDE 100ML,2308001,1/8/2026,0.4,0.4,0.8,2,,,
73,AMERICAN POROUS PLASTER 12 X 18CM,E568,1/12/2028,0.125,0.125,0.3,61,,,
74,AMEYA CALAMINE LOTION 100ML,24RP030,1/12/2027,0.675,0.675,0.9,9,,,
75,AMEYA LIQUID PARAFFIN OIL 100ML,2310026,1/10/2026,0.465,0.465,0.7,3,,,
76,AMFLOR ORAL RINSE 250ML,AW23020,1/11/2026,2.07,2.07,3.45,2,,,
77,AMFLOR TOOTHPASTE 70GM,AM24003,1/2/2027,1.74,1.74,2.9,9,,,
78,AMLO 10MG TAB 30S,4AE002B,1/2/2027,8.2,8.2,10.8,0.333333333,,,
79,AMLO 5MG TAB 30S,4AB058A,1/5/2027,4.75,4.75,6.64,1.333333333,,,
80,AMLOPRES 10MG TAB 30S,6630497,1/10/2026,2.29,2.29,3.07,5,,,
81,AMLOPRES 5MG TAB 30S,4GG0401,1/8/2027,1.188,1.188,1.81,7.333333333,,,
82,AMLORINE 10MG TAB 30S,110953,1/6/2028,2.5,2.5,3.45,6,,,
83,AMLORINE 5MG TAB 30S,112214,1/8/2028,1.6,1.6,2.23,8.333333333,,,
84,AMOCLAN 375MG TABS 20S,0535A,1/10/2025,1.1,1.1,2.21,4.75,,,
85,AMOCLAN 625MG TABS 15S,0644A,1/1/2026,0.9,0.9,3.02,10,,,
86,AMOL 500MG TAB 20S,25323,1/3/2026,0.126,0.126,0.23,10,,,
87,AMOL EXTRA TAB 20S,9923,1/2/2026,0.224,0.224,0.41,3,,,
88,AMOXYDAR 1GM TAB 10S,9903,1/1/2027,0.487,0.487,1.07,10,,,
89,AMOXYDAR FORTE 500MG CAPS 20S,8908,1/1/2028,0.689,0.689,1.51,8.5,,,
90,AMRIZOLE 500MG TAB 20S,8015180,1/8/2027,0.628,0.628,1.34,28.5,,,
91,AMRUTANJAN RELIEF INHALER ,H2124057,1/9/2026,0.34,0.34,0.5,7,,,
92,AMYDRAMINE EXPECTORANT COUGH SYRUP 120ML,7749,1/10/2026,0.43,0.43,0.72,28,,,
93,AMYDRAMINE EXPECTORANT SUGAR FREE SYRUP 120ML,9395,1/2/2025,0.401,0.401,0.55,18,,,
94,AMYDRAMINE PAEDIATRIC SYRUP 120ML,5760,1/8/2026,0.45,0.45,0.67,38,,,
95,AMYN 125MG/5ML SUSP 100ML,S35223014,1/12/2025,0.36,0.36,0.56,3,,,
96,AMYN 250MG TAB 20S,BD/25,1/12/2026,0.399,0.399,0.73,11,,,
97,ANDROZ 50MG TAB 4S,VX68L002,1/6/2026,1.1,1.1,3.35,9,,,
98,ANTINAL 200MG CAPS 24S,230971,1/2/2026,1.1,1.1,1.5,3.5,,,
99,APHRODIL 50MG TAB 4S,1950,1/7/2027,1.656,1.656,4.71,82,,,
100,APIGEN EYE DROPS 10ML,CA631,1/11/2025,0.295,0.295,0.36,19,,,
101,APIMOL 0.5% EYE DROPS 5ML,ED255,1/11/2026,0.842,0.842,1.07,8,,,
102,APISAL EYE/NOSE DROPS 10ML,BA1259,1/7/2029,0.365,0.365,0.49,17,,,
103,APISAL NASAL SPRAY 15ML,MC337,1/7/2026,1.2,1.2,2,23,,,
104,APPETIT CHERRY SYRUP 100ML,20045,1/10/2025,2,2,2.75,1,,,
105,APTAMIL ADVANCE NO 1 NEW 400GM,20260313,1/3/2028,3.885,3.885,4.5,7,,,
106,APTAMIL ADVANCE NO 1 NEW 800GM,20260114,1/1/2026,8.25,8.25,8.8,4,,,
107,APTAMIL ADVANCE NO 2 NEW 400GM,20260531,1/5/2026,3.885,3.885,4.5,7,,,
108,APTAMIL ADVANCE NO 3 NEW 800GM,20251027,1/10/2025,6.92,6.92,7.7,1,,,
109,APTAMIL COMFORT 1 400GM,20260321,1/3/2026,4.309,4.309,4.8,5,,,
110,APTAMIL COMFORT 1 900GM,20260524,1/5/2026,8.742,8.742,9.4,4,,,
111,APTAMIL COMFORT 2 400GM,20260302,1/3/2026,3.996,3.996,4.8,9,,,
112,APTAMIL COMFORT 2 900GM,20260125,1/1/2026,8.791,8.791,9.4,1,,,
113,APTAMIL LF 400GM,20260510,1/5/2026,3.994,3.994,4.398,1,,,
114,ARCOXIA 120MG TAB 7S,Y010836,1/12/2026,1.64,1.64,2,11,,,
115,ARCOXIA 60MG TAB 28S,X004609,1/10/2025,7.181,7.181,8.75,2,,,
116,ARCOXIA 90MG TAB 28S,Y008249,1/1/2027,7.181,7.181,8.75,1.75,,,
117,ARISTOZYME CAPS 10S,EBPJ242518,1/8/2026,0.845,0.845,1.2,8,,,
118,ASMAFORT 1MG/5ML SYRUP 100ML,117,1/8/2025,1.083,1.083,1.98,9,,,
119,ASPILO 81MG TAB 28S,6124004,1/4/2026,0.158,0.158,0.74,1.5,,,
120,ASPIREM 75MG 56S,116646,1/2/2027,0.63,0.63,2.23,4,,,
121,ASPIRIN C 400/240MG EFF TAB 10S,BT1A991,1/8/2026,0.722,0.722,0.88,1,,,
122,ASPIRIN PROTECT 100MG TAB 20S,BT18J04,1/1/2026,0.566,0.566,0.69,3,,,
123,ASTHALIN 100 INHALER 200DOSES,4GB0859,1/4/2026,0.94,0.94,1.26,6,,,
124,ASTHALIN RESPULES 4S,4GA0092,1/6/2026,1.067,1.067,1.62,10,,,
125,ASTHATOR 10MG TAB 30S,BCH5L003,1/3/2027,2.86,2.86,4.88,4,,,
126,ATORLIP 10MG TAB 30S,C907,1/6/2027,2.39,2.39,3.42,8.666666667,,,
127,ATORLIP 20MG TAB 30S,D283,1/11/2027,2.45,2.45,3.42,1,,,
128,ATORMIN 50MG TAB 28S,4FD005A,1/3/2027,1.4,1.4,1.71,3.5,,,
129,ATORVAST 10 TAB 30S,18231045,1/11/2026,3.98,3.98,6.11,1,,,
130,ATORVAST 20 MG TAB 30S,1723786,1/8/2026,7.299,7.299,10.33,1,,,
131,ATOXIA 120MG TAB 7S,519M,1/11/2027,0.61,0.61,1.19,8,,,
132,ATOXIA 60MG TAB 10S,140L,1/5/2027,0.681,0.681,1.41,11,,,
133,ATOXIA 90MG TAB 10S,581N,1/1/2028,0.723,0.723,1.41,7,,,
134,ATSTAT 40MG TAB 30S,BFQ10124,1/7/2026,0.667,0.667,9.9,1,,,
135,AUGMENTIN 1GM TAB 14S,VM3F,1/5/2027,7.563,7.563,9.216,5,,,
136,AUGMENTIN 375MG TAB 20S,M44J,1/11/2025,1.575,1.575,3.96,0.5,,,
137,AUGMENTIN 625MG TAB 20S,YH5R,1/6/2026,5.646,5.646,6.88,1,,,
138,AVALON ALPHA PLUS CREAM 30GM,5114005,1/9/2026,11.027,11.027,14.137,1,,,
139,AVALON HAND CREAM 3.04OZ,3962002,1/12/2025,0.86,0.86,2.1,1,,,
140,AVAMYS 27.5MCG NASAL SPRAY 120,VP3D,1/6/2026,3.923,3.923,4.78,2,,,
141,AVEENO BABY BARRIER CREAM 100ML,0113V,1/1/2026,1.748,1.748,2.33,4,,,
142,AVEENO BABY HAIR AND BODY WASH 250ML,1854P,1/7/2027,4,4,5.325,4,,,
143,AVEENO BABY MOISTURISING LOTION 150ML,2194V,1/7/2027,2.25,2.25,3,2,,,
144,AVEENO DAILY MOISTURISING CREAM 100GM,1943V,1/5/2026,5.75,5.75,7.725,1,,,
145,AVEENO DERMEXA SOOTHING MOISTURISER 200ML,1434V,1/5/2027,8.1,8.1,10.8,3,,,
146,AVEENO SOOTH RELIEF EMOLLIENT CREAM 150ML,20863V,1/6/2026,2.475,2.475,3.3,6,,,
147,AVENE CLEANANCE GEL 400ML,4A31X,1/3/2027,4.485,4.485,11.5,6,,,
148,AVENE DISCOUNTED PACK CLEANANCE GEL 200ML,3AEBP,1/10/2026,3.36,3.36,6,2,,,
149,AVENE DISCOUNTED SPF50 BROAD SPECTRUM CREAM 50ML,3A38X0323,1/3/2026,4.446,4.446,8.95,2,,,
150,AVENE HYALURON ACTIV B3 EYE CREAM 15ML,3AC3A,1/9/2026,7.8,7.8,10,1,,,
151,AVESAL DROPS 10ML,11223,1/12/2026,0.536,0.536,0.98,18,,,
152,AYULAX CAP 60S,606,1/8/2027,2.445,2.445,3.135,2.166666667,,,
153,AYURSLIM CAPS 60S,112401593,1/5/2027,3.4,3.4,5.1,1,,,
154,AYUVIGO FORTE CAPS 60S,407,1/1/2027,2.703,2.703,3.465,1,,,
155,AZARGA EYE DROPS 5ML,VAW33B,1/9/2025,5.737,5.737,6.99,3,,,
156,AZEE 500MG TAB 3S,GG30102,1/1/2026,2.081,2.081,3.17,6,,,
157,AZI-ONCE 200/5 ML SUSP 30ML,BB0183,1/2/2026,1.196,1.196,2.55,42,,,
158,AZI-ONCE 250MG CAPS 6S,VV0454,1/3/2027,1.495,1.495,3.46,13,,,
159,AZICURE 500 MG TAB 3S,183N,1/9/2026,1.088,1.088,2.64,3,,,
160,AZIMAC 500MG TAB 3S,23DD54,1/8/2026,1.428,1.428,3.48,3,,,
161,AZOPT 10MG/ML EYE DROPS 5ML,VY855B,1/8/2025,3.906,3.906,4.76,1,,,
162,B-PROTIN NUTRITIONAL SUPPLEMENT VANILLA 400GM,BPVAOM,1/12/2025,2.486,2.486,3.3,4,,,
163,BABY CARE NAIL CLIPPER 001,1000,1/1/2030,0.9,0.9,1.2,1,,,
164,BABY FLAEM NASAL ASPIRATOR,20A27B,1/1/2030,2.8,2.8,4.9,5,,,
165,BABY LOVE GLASS FEEDING BOTTLE 60ML,1000,1/1/2030,1.6,1.6,1.6,1,,,
166,BABY NAM SYRUP 100ML,840241,1/2/2026,0.731,0.731,1.5,11,,,
167,BABY RUB SOOTHING OINTMENT 50GM,042A,1/3/2027,1.235,1.235,1.9,6,,,
168,BABY SMILE BABY DRINKING CUP 210ML,1000,1/1/2030,0.97,0.97,1.809,6,,,
169,BABY SMILE GLASS FEEDING BOTTLE 240ML,1000,1/1/2030,0.92,0.92,1.619,13,,,
170,BABY SMILE GLASS FEEDING BOTTLE 60ML,1000,1/1/2030,0.715,0.715,1.333,5,,,
171,BABY SMILE GLASS FEEDING BOTTLE WITH HANDLE 120ML,1000,1/1/2030,1.028,1.028,1.81,10,,,
172,BABY SMILE GLASS FEEDING BOTTLE WITH HANDLE 240ML,1000,1/1/2030,0.97,0.97,1.904,8,,,
173,BABY SMILE HANDS FREE FEEDING BOTTLE 150ML,1000,1/1/2030,1.039,1.039,1.714,6,,,
174,BABY SMILE MANUAL BREAST PUMP 180ML,1000,1/1/2029,1.275,1.275,2.38,3,,,
175,BABY SMILE NEW SILICONE RICE CEREAL BOTTLE 90ML,1000,1/1/2029,0.765,0.765,1.428,5,,,
176,BABY SMILE NIPPLE SHIELD WITH CASE 2S,1000,1/1/2029,0.918,0.918,1.714,6,,,
177,BABY SMILE PLASTIC BOTTLE WITH HANDLE 150ML,1000,1/1/2029,0.758,0.758,1.33,10,,,
178,BABY SMILE SILICONE FINGER TOOTHBRUSH,1000,1/1/2029,0.51,0.51,0.952,1,,,
179,BABY SMILE SILICONE NASAL ASPIRATOR,1000,1/1/2029,0.612,0.612,0.857,5,,,
180,BABY SMILE SILICONE NIPPLE 2S,1000,1/1/2029,0.459,0.459,0.857,11,,,
181,BABY SMILE SILICONE SPOON 2S,1000,1/1/2029,0.811,0.811,1.428,1,,,
182,BABYTIME BREAST PADS 30+10S,1000,1/1/2029,1.313,1.313,2.8,8,,,
183,BABYTIME FRUIT STRAINER,1000,1/1/2029,0.808,0.808,1.7,3,,,
184,BABYTIME GLASS FB WITH HANDLE 125ML,1000,1/7/2027,0.952,0.952,2,12,,,
185,BABYTIME GLASS FB WITH HANDLE 225ML,1000,1/7/2027,1.082,1.082,2.2,11,,,
186,BABYTIME NASAL ASPIRATOR ,1000,1/1/2029,0.856,0.856,1.8,8,,,
187,BABYTIME ORTHODONTIC SOOTHER,1000,1/1/2029,0.5,0.5,1,18,,,
188,BABYTIME PLASTIC FB 150ML,1000,1/12/2026,0.7,0.7,1.4,18,,,
189,BABYTIME WATER TEETHER,1000,1/1/2029,0.484,0.484,1,9,,,
190,BACLOCALM 10 MG TAB 50S,4244,1/10/2026,2.389,2.389,2.91,2,,,
191,BACLOCALM 10MG TAB 10S,4330,1/5/2027,2.389,2.389,2.91,0.6,,,
192,BACLOCALM 25MG TAB 50S,4415,1/11/2027,5.253,5.253,6.4,3,,,
193,BAODA ORTHODONTIC SOOTHER,1000,1/1/2030,0.394,0.394,0.8,4,,,
194,BARRAD COLD GEL 50GM,1497,1/11/2026,0.9,0.9,1.4,2,,,
195,BASTOS TUBULAR SUPPORT BANDAGE 10CM,13214401A,1/8/2030,1,1,2,2,,,
196,BASTOS TUBULAR SUPPORT BANDAGE 6.25CM,10801101A,1/4/2028,1.147,1.147,2,3,,,
197,BATH SPONGE KIDS SPK-201,1000,1/1/2029,0.9,0.9,1.5,1,,,
198,BATH SPONGE KIDS SPK-202,1000,1/1/2030,0.9,0.9,1.5,1,,,
199,BATH SPONGE SP-704,1000,1/1/2030,1.44,1.44,2.4,1,,,
200,BBC SPRAY 25ML,235367,1/12/2026,2.08,2.08,4,1,,,
201,BEBELAC NO1 400GM,101419801,1/10/2025,3.554,3.554,3.864,1,,,
202,BEBELAC NO2 400GM,101438121,1/2/2026,3.231,3.231,3.856,2,,,
203,BEBENEO CLASSIC SOOTHER WITH COVER 1S,1000,1/1/2029,0.651,0.651,1.143,13,,,
204,BEBENEO CLASSIC TEAT 1S,1000,1/1/2029,0.444,0.444,0.762,19,,,
205,BEBENEO GLASS FEEDING BOTTLE 120ML,1000,1/1/2029,0.862,0.862,2,15,,,
206,BEBENEO GLASS FEEDING BOTTLE 240ML,1000,1/1/2029,0.924,0.924,2.191,22,,,
207,BEBENEO GLASS FEEDING BOTTLE 60ML,1000,1/1/2029,0.693,0.693,1.81,21,,,
208,BECOZYME FORTE TAB 20S,414232,1/1/2027,1.09,1.09,1.33,4.5,,,
209,BEEBA COMFORT ELECTRIC BREAST PUMP DUAL MODE ,1000,1/1/2029,21,21,38,1,,,
210,BEESLINE 4 IN 1 CLEANSER AND CLEANSER OFFERPACK,23822,1/9/2025,6.026,6.026,9,1,,,
211,BEESLINE 4 IN 1 CLEANSER AND TONER OFFERPACK,23922,1/9/2025,6.026,6.026,9,1,,,
212,BEESLINE ANTI WRINKLE AND RADIANCE SERUM 30ML,34923H,1/12/2026,0,0,8.95,1,,,
213,BEESLINE EVERYONE BARRIER CREAM 50ML,41424A,1/4/2027,0,0,8,1,,,
214,BEESLINE FUTURE BARRIER CREAM 50ML,41424B,1/4/2027,0,0,8,1,,,
215,BEESLINE HAJJ KIT ,54123E,1/10/2026,3.75,3.75,5,3,,,
216,BEESLINE WHITENING FACIAL EXFOLIATING SOAP 60GM ,23323E,1/8/2026,1.339,1.339,2,7,,,
217,BEESLINE WHITENING FACIAL PAPAYA SOAP 85GM,44023D,1/10/2026,2.077,2.077,3,5,,,
218,BEESLINE WHITENING FACIAL SOAP JOURI ROSE 85GM ,44023F,1/10/2026,0,0,3,6,,,
219,BEESLINE WHITENING INTIMATE ZONE ROUTINE OFFERPACK,22423D,1/6/2026,11.76,11.76,17,1,,,
220,BEESLINE WHITENING SENSITIVE ZONE CREAM 50ML,541230,1/10/2026,6.923,6.923,10,3,,,
221,BENOSTAN 1+1 SPF50 SUNSCREEN 2IN1 FACE CREAM 50ML,230109,1/1/2027,6.19,6.19,8.8,2,,,
222,BENZED MOUTHWASH & GARGLE 240ML,4044,1/6/2026,1.92,1.92,2.8,4,,,
223,BEPANTHEN ANTI SCAR GEL 20GM,GB02UU3X,1/8/2026,9.36,9.36,12,1,,,
224,BEPANTHEN LOTION 200ML,GP02RPV,1/5/2026,2.076,2.076,2.53,8,,,
225,BEPANTHEN MOISTURIZING CREAM 30GM,GB02EZ02,1/1/2027,0.992,0.992,1.33,50,,,
226,BEPANTHEN MOISTURIZING CREAM 100GM,GP02ZU2,1/1/2027,3.636,3.636,4.43,1,,,
227,BEPANTHEN PLUS WOUND HEALING CREAM 30GM,GB02KSK,1/12/2025,1.091,1.091,1.33,2,,,
228,BEPANTHEN PROTECTIVE BABY OINT 30GM,GP02P8C,1/2/2026,1.05,1.05,1.28,8,,,
229,BEROCCA EFFERVESCENT TAB 10S,N3L580,1/10/2025,1.26,1.26,1.54,5,,,
230,BETADINE ANTI SEPTIC PAINT 8ML,23J679A38,1/10/2026,1.786,1.786,2.52,1,,,
231,BETADINE ANTISEPTIC SOL 120ML,24E303J38,1/5/2029,2.575,2.575,3.48,2,,,
232,BETADINE DRY POWDER SPRAY 55G,24B242G38,1/4/2027,2.435,2.435,3.29,5,,,
233,BETADINE INTIMATE WASH ODOUR CONTROL250ML,7248017,1/8/2026,5.55,5.55,7.4,1,,,
234,BETADINE MOUTH WASH 125ML,23H550K38,1/8/2026,2.686,2.686,3.63,1,,,
235,BETADINE SCALP AND SKIN CLEANSER 125ML,24G453K38,1/7/2027,3.28,3.28,4.42,2,,,
236,BETADINE THROAT SPRAY 50ML,23B080EF38,1/2/2026,1.954,1.954,2.64,1,,,
237,BETADINE VAGINAL DOUCHE KIT 250ML,24J570N38,1/10/2027,6.024,6.024,8.14,1,,,
238,BETADINE VAGINAL PESSARIES 14S,10023820,1/6/2027,4.766,4.766,6.44,1,,,
239,BETAGEN 8MG TAB 50S,22DH61,1/10/2025,2.39,2.39,3.68,1.2,,,
240,BETALAST COTTON CREPE BANDAGE 10CM X 4.5M ,B22122334,1/12/2027,0.9,0.9,1,8,,,
241,BETALAST COTTON CREPE BANDAGE 6CM X 4.5M ,T23020734,1/2/2028,0.6,0.6,0.6,9,,,
242,BETALAST COTTON CREPE BANDAGE 8CM X 4.5M ,T23020734,1/2/2028,0.8,0.8,0.8,10,,,
243,BETALAST ELASTIC CREPE BANDAGE 10CM X 4.5CM,T24020734,1/2/2029,0.84,0.84,1.8,9,,,
244,BETALAST ELASTIC CREPE BANDAGE 6CM X 4.5CM,54210310,1/3/2026,0.6,0.6,1.2,10,,,
245,BETALAST ELASTIC CREPE BANDAGE 8CM X 4.5CM,54211001,1/2/2028,0.72,0.72,1.5,8,,,
246,BETAPLAST SURGICAL ZINC OXIDE TAPE 5M X 1.25CM,T24020734,1/2/2029,0.375,0.375,0.8,6,,,
247,BETAPLAST SURGICAL ZINC OXIDE TAPE 5M X 10CM,T23103034,1/10/2028,2,2,2.4,1,,,
248,BETAPLAST SURGICAL ZINC OXIDE TAPE 5M X 2.5 CM,20120234,1/12/2025,0.422,0.422,0.9,10,,,
249,BETAPLAST SURGICAL ZINC OXIDE TAPE 5M X 5 CM,B24071134,1/7/2029,1.026,1.026,2,9,,,
250,BETAPLAST ZINC OXIDE TAPE 5M X 7.5 CM,21100134,1/2/2028,1.1,1.1,2.2,1,,,
251,BETASEPT MOUTHWASH 130ML,BA0354,1/1/2026,1.121,1.121,2.3,9,,,
252,BETASERC 16MG TAB 60S,727051,1/3/2027,6.678,6.678,8.14,0.333333333,,,
253,BETATRANS SURGICAL TAPE 5M X 5CM,21060434,1/6/2026,0.867,0.867,1.6,4,,,
254,BETNOVATE 0.1% CREAM 30GM,YK9B,1/7/2027,0.894,0.894,1.09,10,,,
255,BETNOVATE SCALP APPLICATION 30ML,B12624BB,1/2/2026,1.206,1.206,1.47,5,,,
256,BEURER DIAGNOSTIC SCALE BF180,1000,1/1/2029,8.1,8.1,13.9,1,,,
257,BEURER DIGITAL THERMOMETER,1000,1/1/2029,1.8,1.8,2.8,3,,,
258,BEURER GLASS SCALE GS212,1000,1/1/2030,12.51,12.51,15.5,1,,,
259,BEURER HEARING AMPLIFER HA50,1000,1/1/2029,16.7,16.7,22.85,3,,,
260,BIFILAC SACHETS 15S,EXEF24R01,1/2/2026,1.5,1.5,3,2,,,
261,BIGEN MENS BEARD COLOUR BROWN BLACK B102,A2022,1/2/2029,2.369,2.369,3.2,8,,,
262,BIGEN MENS BEARD COLOUR DARK BROWN B103,A2023,1/2/2029,2.369,2.369,3.2,9,,,
263,BIGEN MENS BEARD COLOUR NATURAL BLACK B101,A1972,1/7/2028,2.369,2.369,3.2,8,,,
264,BIGEN SPEEDY DARK BROWN 883,B2024,1/12/2028,2.25,2.25,3,1,,,
265,BIGEN SPEEDY NATURAL BLACK 881,B2028,1/2/2029,2.245,2.245,3,9,,,
